Symbol,MSE,Pred1,Pred2,Pred3,Pred4,Pred5,Delta
MCK,0.0009800713742151856,1.627073884010315,1.6431998014450073,1.6465822458267212,1.6232744455337524,1.5808372497558594,-0.046236634254455566
VRTX,0.0018892660737037659,0.8053732514381409,0.8155505657196045,0.8046316504478455,0.7787360548973083,0.7410823106765747,-0.06429094076156616
ICE,0.005684842821210623,1.9648691415786743,1.9758492708206177,1.9761821031570435,1.9621952772140503,1.9399393796920776,-0.02492976188659668
MSI,0.005934569519013166,0.6168659925460815,0.6153928637504578,0.5887108445167542,0.5447306632995605,0.48734718561172485,-0.1295188069343567
HCA,0.006048306357115507,-0.325499564409256,-0.241222083568573,-0.2211747169494629,-0.23397311568260193,-0.2786501348018646,0.04684942960739136
COST,0.006665555294603109,1.9201782941818237,1.901105284690857,1.8703709840774536,1.7820425033569336,1.6450945138931274,-0.2750837802886963
NFLX,0.007250248454511166,1.8915011882781982,1.9323898553848267,1.9445091485977173,1.9361729621887207,1.9171245098114014,0.025623321533203125
CL,0.00898679532110691,-0.3186544179916382,-0.25496503710746765,-0.2447114884853363,-0.26237592101097107,-0.3084333539009094,0.01022106409072876
HWM,0.009179409593343735,2.007594585418701,1.9988328218460083,1.9759618043899536,1.9229763746261597,1.847841739654541,-0.15975284576416016
AMT,0.010120108723640442,0.5387527942657471,0.5423137545585632,0.5193432569503784,0.4932010769844055,0.4756324291229248,-0.06312036514282227
D,0.010247081518173218,1.0743039846420288,1.1003705263137817,1.093979001045227,1.0662850141525269,1.0239201784133911,-0.050383806228637695
ECL,0.010498002171516418,2.3396010398864746,2.3347320556640625,2.308656692504883,2.283808946609497,2.2641496658325195,-0.07545137405395508
MMM,0.010624798014760017,1.65727961063385,1.686064600944519,1.665907621383667,1.616104006767273,1.5479378700256348,-0.10934174060821533
MPC,0.010948790237307549,-0.9950814843177795,-0.8821538686752319,-0.8429816961288452,-0.8358330130577087,-0.859320342540741,0.13576114177703857
BSX,0.01099172979593277,1.9320310354232788,1.9684728384017944,1.9679709672927856,1.913378357887268,1.8226534128189087,-0.10937762260437012
GE,0.01194152794778347,1.8343037366867065,1.8712602853775024,1.8832753896713257,1.8801977634429932,1.869601845741272,0.03529810905456543
NOW,0.012238236144185066,0.6484878659248352,0.6683769822120667,0.6568358540534973,0.6269232630729675,0.5830387473106384,-0.06544911861419678
TDG,0.01290577370673418,1.3732458353042603,1.4050709009170532,1.407455325126648,1.3838961124420166,1.3421367406845093,-0.031109094619750977
TGT,0.013090291991829872,-2.113443613052368,-2.066821813583374,-1.9247585535049438,-1.805357575416565,-1.737079381942749,0.37636423110961914
TT,0.013214850798249245,0.201643168926239,0.224734365940094,0.21664023399353027,0.19557729363441467,0.16298076510429382,-0.03866240382194519
AJG,0.013850085437297821,2.441755771636963,2.4285731315612793,2.4008047580718994,2.3511416912078857,2.2950172424316406,-0.14673852920532227
META,0.01530427485704422,1.83830726146698,1.8520495891571045,1.8570606708526611,1.8482365608215332,1.8300484418869019,-0.008258819580078125
OKE,0.01625593565404415,0.7041620016098022,0.7059070467948914,0.6356580853462219,0.5080395936965942,0.34863755106925964,-0.3555244505405426
GM,0.018276292830705643,0.27144700288772583,0.3117881417274475,0.30816972255706787,0.2743939161300659,0.21356824040412903,-0.0578787624835968
BK,0.020333997905254364,1.9869929552078247,2.0277674198150635,2.016472816467285,1.953586459159851,1.8542827367782593,-0.13271021842956543
BLK,0.02106720395386219,0.9281930327415466,0.9648173451423645,0.9461162686347961,0.8789827227592468,0.7751572728157043,-0.15303575992584229
TJX,0.021154439076781273,1.393154501914978,1.389850378036499,1.3896509408950806,1.380700707435608,1.3633222579956055,-0.02983224391937256
WMT,0.021480832248926163,1.6618863344192505,1.6515992879867554,1.5924702882766724,1.4921799898147583,1.370468020439148,-0.29141831398010254
CMG,0.02187102660536766,-1.408769130706787,-1.3381584882736206,-1.2967119216918945,-1.2686940431594849,-1.2573553323745728,0.15141379833221436
VZ,0.024613935500383377,1.8669137954711914,1.8921078443527222,1.8894295692443848,1.8804608583450317,1.8721965551376343,0.005282759666442871
RCL,0.02566472813487053,1.364956021308899,1.3847217559814453,1.3595967292785645,1.2767244577407837,1.1600135564804077,-0.2049424648284912
MSFT,0.028574874624609947,-1.3983973264694214,-1.281490445137024,-1.2309679985046387,-1.2044061422348022,-1.2046763896942139,0.19372093677520752
RSG,0.029191458597779274,2.8290209770202637,2.7947158813476562,2.7654571533203125,2.7197837829589844,2.6716959476470947,-0.15732502937316895
T,0.03109809197485447,2.441270589828491,2.436527729034424,2.425290107727051,2.399498224258423,2.3731937408447266,-0.06807684898376465
ADBE,0.03196028992533684,-1.4319348335266113,-1.5630379915237427,-1.6614322662353516,-1.7453278303146362,-1.7218891382217407,-0.2899543046951294
SYK,0.03196295350790024,1.8204935789108276,1.8704839944839478,1.882196307182312,1.8648849725723267,1.831114411354065,0.010620832443237305
MCO,0.03388247638940811,1.2963193655014038,1.2971279621124268,1.296624779701233,1.2889671325683594,1.2729204893112183,-0.023398876190185547
NKE,0.03400692716240883,-0.28064385056495667,-0.29603707790374756,-0.34197521209716797,-0.4327521324157715,-0.549787163734436,-0.26914331316947937
DIS,0.03449804335832596,0.9429382681846619,0.9742141366004944,0.9692781567573547,0.9392915368080139,0.8912110924720764,-0.05172717571258545
GS,0.03626482933759689,1.6631920337677002,1.697990894317627,1.6770468950271606,1.5776036977767944,1.4194715023040771,-0.24372053146362305
